iso_country,name,iata_code
US,Fremont Municipal Airport,FET
US,First Flight Airport,FFA
US,Fairfield Municipal Airport,FFL
US,Fergus Falls Municipal Airport - Einar Mickelson Field,FFM
US,Wright-Patterson Air Force Base,FFO
US,Capital City Airport,FFT
US,Falcon Field,MSC
US,Friday Harbor Airport,FRD
US,Sierra Vista Municipal Airport / Libby Army Air Field,FHU
US,Venango Regional Airport,FKL
US,Franklin Regional Airport,FKN
US,Fond du Lac County Airport,FLD
US,Flagstaff Pulliam International Airport,FLG
US,Fort Lauderdale Hollywood International Airport,FLL
US,Florence Regional Airport,FLO
US,Marion County Regional Airport,FLP
US,Sherman Army Air Field,FLV
US,Fallon Municipal Airport,FLX
US,Tipton Airport,FME
US,Cape Cod Coast Guard Air Station,FMH
US,Four Corners Regional Airport,FMN
US,Page Field,FMY
US,Northern Colorado Regional Airport,FNL
US,Bishop International Airport,FNT
US,Fort Dodge Regional Airport,FOD
US,Topeka Regional Airport,FOE
US,Francis S Gabreski Airport,FOK
US,Fillmore Municipal Airport,FIL
US,St Lucie County International Airport,FPR
US,Republic Airport,FRG
US,French Lick Municipal Airport,FRH
US,Marshall Army Air Field,FRI
US,Fairmont Municipal Airport,FRM
US,Front Royal Warren County Airport,FRR
US,Sioux Falls Regional Airport / Joe Foss Field,FSD
US,Henry Post Army Air Field,FSI
US,Fort Scott Municipal Airport,FSK
US,Fort Smith Regional Airport,FSM
US,Fort Stockton Pecos County Airport,FST
US,Fort Sumner Municipal Airport,FSU
US,Fort Madison Municipal Airport,FMS
US,Godman Army Air Field,FTK
US,Fort Worth Meacham International Airport,FTW
US,Fulton County Airport Brown Field,FTY
US,Fullerton Municipal Airport,FUL
US,Northern Aroostook Regional Airport,WFK
US,Fort Wayne International Airport,FWA
US,Fort Lauderdale Executive Airport,FXE
US,Forest City Municipal Airport,FXY
US,Fayetteville Municipal Airport,FYM
US,Drake Field,FYV
US,Gabbs Airport,GAB
US,Northeast Alabama Regional Airport,GAD
US,Gage Heibeck Airport,GAG
US,Montgomery County Airpark,GAI
US,Great Bend Municipal Airport,GBD
US,Galesburg Municipal Airport,GBG
US,Walter J. Koladza Airport,GBR
US,Northeast Wyoming Regional Airport,GCC
US,Grant County Regional Airport / Ogilvie Field,JDA
US,Garden City Regional Airport,GCK
US,Grand Canyon National Park Airport,GCN
US,Greeneville Municipal Airport,GCY
